data_name,data_size,clean_name,idf_name,feature_number,regression_name,trainning_time,val_score,model_path
class_train,159571,clean0,tfidf0,402845,ridge,230,0.6722,./model/0.pkl
class_train,159571,clean0,tfidf0,13698,svm,53,0.6413,./model/1.pkl
class_train,159571,clean0,tfidf0,13698,mlp,44,0.6307,./model/2.pkl
class_train,159571,clean0,tfidf0,13698,lgb,39,0.5917,./model/3.pkl
class_train,159571,clean0,tfidf1,2000,ridge,37,0.6357,./model/4.pkl
class_train,159571,clean0,tfidf1,2000,svm,44,0.6279,./model/5.pkl
class_train,159571,clean0,tfidf1,2000,mlp,39,0.6257,./model/6.pkl
class_train,159571,clean0,tfidf1,2000,lgb,39,0.5921,./model/7.pkl
class_train,159571,clean0,tfidf2,2340,ridge,14,0.6351,./model/8.pkl
class_train,159571,clean0,tfidf2,21678,svm,34,0.654,./model/9.pkl
class_train,159571,clean0,tfidf2,21678,mlp,51,0.639,./model/10.pkl
class_train,159571,clean0,tfidf2,21678,lgb,15,0.6168,./model/11.pkl
class_train,159571,clean0,tfidf3,33698,ridge,24,0.6629,./model/12.pkl
class_train,159571,clean0,tfidf3,33698,svm,45,0.6551,./model/13.pkl
class_train,159571,clean0,tfidf3,33698,mlp,88,0.6489,./model/14.pkl
class_train,159571,clean0,tfidf3,33698,lgb,24,0.6147,./model/15.pkl
class_train,159571,clean1,tfidf0,38170,ridge,35,0.6708,./model/16.pkl
class_train,159571,clean1,tfidf0,38170,svm,128,0.6568,./model/17.pkl
class_train,159571,clean1,tfidf0,38170,mlp,112,0.6496,./model/18.pkl
class_train,159571,clean1,tfidf0,38170,lgb,40,0.6365,./model/19.pkl
class_train,159571,clean1,tfidf1,2000,ridge,32,0.6542,./model/20.pkl
class_train,159571,clean1,tfidf1,2000,svm,101,0.6493,./model/21.pkl
class_train,159571,clean1,tfidf1,2000,mlp,40,0.6496,./model/22.pkl
class_train,159571,clean1,tfidf1,2000,lgb,34,0.6215,./model/23.pkl
class_train,159571,clean1,tfidf2,21773,ridge,9,0.6629,./model/24.pkl
class_train,159571,clean1,tfidf2,21773,svm,28,0.6533,./model/25.pkl
class_train,159571,clean1,tfidf2,21773,mlp,48,0.6424,./model/26.pkl
class_train,159571,clean1,tfidf2,21773,lgb,10,0.6157,./model/27.pkl
class_train,159571,clean1,tfidf3,33764,ridge,21,0.6637,./model/28.pkl
class_train,159571,clean1,tfidf3,33764,svm,40,0.6553,./model/29.pkl
class_train,159571,clean1,tfidf3,33764,mlp,81,0.6408,./model/30.pkl
class_train,159571,clean1,tfidf3,33764,lgb,19,0.6144,./model/31.pkl
bias_train,249025,clean0,tfidf0,47194,ridge,41,0.6382,./model/32.pkl
bias_train,249025,clean0,tfidf0,47194,svm,124,0.6325,./model/33.pkl
bias_train,249025,clean0,tfidf0,47194,mlp,127,0.6246,./model/34.pkl
bias_train,249025,clean0,tfidf0,47194,lgb,47,0.5498,./model/35.pkl
bias_train,249025,clean0,tfidf1,2000,ridge,43,0.5968,./model/36.pkl
bias_train,249025,clean0,tfidf1,2000,svm,89,0.5858,./model/37.pkl
bias_train,249025,clean0,tfidf1,2000,mlp,46,0.582,./model/38.pkl
bias_train,249025,clean0,tfidf1,2000,lgb,41,0.5512,./model/39.pkl
bias_train,249025,clean0,tfidf2,19154,ridge,14,0.5735,./model/40.pkl
bias_train,249025,clean0,tfidf2,19154,svm,31,0.5581,./model/41.pkl
bias_train,249025,clean0,tfidf2,19154,mlp,48,0.5703,./model/42.pkl
bias_train,249025,clean0,tfidf2,19154,lgb,14,0.4866,./model/43.pkl
bias_train,249025,clean0,tfidf3,23333,ridge,22,0.5743,./model/44.pkl
bias_train,249025,clean0,tfidf3,23333,svm,39,0.5584,./model/45.pkl
bias_train,249025,clean0,tfidf3,23333,mlp,64,0.5376,./model/46.pkl
bias_train,249025,clean0,tfidf3,23333,lgb,22,0.5002,./model/47.pkl
bias_train,249025,clean1,tfidf0,36406,ridge,33,0.6403,./model/48.pkl
bias_train,249025,clean1,tfidf0,36406,svm,105,0.6343,./model/49.pkl
bias_train,249025,clean1,tfidf0,36406,mlp,114,0.6231,./model/50.pkl
bias_train,249025,clean1,tfidf0,36406,lgb,39,0.5363,./model/51.pkl
bias_train,249025,clean1,tfidf1,2000,ridge,33,0.5969,./model/52.pkl
bias_train,249025,clean1,tfidf1,2000,svm,74,0.5863,./model/53.pkl
bias_train,249025,clean1,tfidf1,2000,mlp,38,0.5806,./model/54.pkl
bias_train,249025,clean1,tfidf1,2000,lgb,34,0.5439,./model/55.pkl
bias_train,249025,clean1,tfidf2,19049,ridge,9,0.5731,./model/56.pkl
bias_train,249025,clean1,tfidf2,19049,svm,25,0.5587,./model/57.pkl
bias_train,249025,clean1,tfidf2,19049,mlp,40,0.5786,./model/58.pkl
bias_train,249025,clean1,tfidf2,19049,lgb,10,0.5014,./model/59.pkl
bias_train,249025,clean1,tfidf3,23198,ridge,17,0.5734,./model/60.pkl
bias_train,249025,clean1,tfidf3,23198,svm,36,0.5573,./model/61.pkl
bias_train,249025,clean1,tfidf3,23198,mlp,55,0.5586,./model/62.pkl
bias_train,249025,clean1,tfidf3,23198,lgb,18,0.4698,./model/63.pkl
multi_train,223549,clean0,tfidf0,51474,ridge,43,0.6717,./model/64.pkl
multi_train,223549,clean0,tfidf0,51474,svm,141,0.6607,./model/65.pkl
multi_train,223549,clean0,tfidf0,51474,mlp,142,0.6537,./model/66.pkl
multi_train,223549,clean0,tfidf0,51474,lgb,52,0.644,./model/67.pkl
multi_train,223549,clean0,tfidf1,2000,ridge,40,0.652,./model/68.pkl
multi_train,223549,clean0,tfidf1,2000,svm,107,0.6453,./model/69.pkl
multi_train,223549,clean0,tfidf1,2000,mlp,49,0.6416,./model/70.pkl
multi_train,223549,clean0,tfidf1,2000,lgb,43,0.6228,./model/71.pkl
multi_train,223549,clean0,tfidf2,21678,ridge,14,0.6631,./model/72.pkl
multi_train,223549,clean0,tfidf2,21678,svm,34,0.654,./model/73.pkl
multi_train,223549,clean0,tfidf2,21678,mlp,59,0.6484,./model/74.pkl
multi_train,223549,clean0,tfidf2,21678,lgb,15,0.6168,./model/75.pkl
multi_train,223549,clean0,tfidf3,33698,ridge,23,0.6629,./model/76.pkl
multi_train,223549,clean0,tfidf3,33698,svm,45,0.6551,./model/77.pkl
multi_train,223549,clean0,tfidf3,33698,mlp,90,0.6477,./model/78.pkl
multi_train,223549,clean0,tfidf3,33698,lgb,27,0.6147,./model/79.pkl
multi_train,223549,clean1,tfidf0,38170,ridge,37,0.6708,./model/80.pkl
multi_train,223549,clean1,tfidf0,38170,svm,131,0.6568,./model/81.pkl
multi_train,223549,clean1,tfidf0,38170,mlp,121,0.655,./model/82.pkl
multi_train,223549,clean1,tfidf0,38170,lgb,40,0.6365,./model/83.pkl
multi_train,223549,clean1,tfidf1,2000,ridge,36,0.6542,./model/84.pkl
multi_train,223549,clean1,tfidf1,2000,svm,98,0.6493,./model/85.pkl
multi_train,223549,clean1,tfidf1,2000,mlp,42,0.6445,./model/86.pkl
multi_train,223549,clean1,tfidf1,2000,lgb,35,0.6215,./model/87.pkl
multi_train,223549,clean1,tfidf2,21773,ridge,9,0.6629,./model/88.pkl
multi_train,223549,clean1,tfidf2,21773,svm,28,0.6533,./model/89.pkl
multi_train,223549,clean1,tfidf2,21773,mlp,50,0.6459,./model/90.pkl
multi_train,223549,clean1,tfidf2,21773,lgb,10,0.6157,./model/91.pkl
multi_train,223549,clean1,tfidf3,33764,ridge,19,0.6637,./model/92.pkl
multi_train,223549,clean1,tfidf3,33764,svm,40,0.6553,./model/93.pkl
multi_train,223549,clean1,tfidf3,33764,mlp,81,0.6424,./model/94.pkl
multi_train,223549,clean1,tfidf3,33764,lgb,20,0.6144,./model/95.pkl
ruddit_train,5838,clean0,tfidf0,34194,ridge,43,0.6324,./model/96.pkl
ruddit_train,5838,clean0,tfidf0,34194,svm,234,0.6292,./model/97.pkl
ruddit_train,5838,clean0,tfidf0,34194,mlp,131,0.628,./model/98.pkl
ruddit_train,5838,clean0,tfidf0,34194,lgb,48,0.5868,./model/99.pkl
ruddit_train,5838,clean0,tfidf1,2000,ridge,42,0.6107,./model/100.pkl
ruddit_train,5838,clean0,tfidf1,2000,svm,172,0.6128,./model/101.pkl
ruddit_train,5838,clean0,tfidf1,2000,mlp,53,0.6134,./model/102.pkl
ruddit_train,5838,clean0,tfidf1,2000,lgb,43,0.5808,./model/103.pkl
ruddit_train,5838,clean0,tfidf2,13492,ridge,15,0.6189,./model/104.pkl
ruddit_train,5838,clean0,tfidf2,13492,svm,46,0.6156,./model/105.pkl
ruddit_train,5838,clean0,tfidf2,13492,mlp,48,0.6102,./model/106.pkl
ruddit_train,5838,clean0,tfidf2,13492,lgb,15,0.5828,./model/107.pkl
ruddit_train,5838,clean0,tfidf3,16938,ridge,24,0.6183,./model/108.pkl
ruddit_train,5838,clean0,tfidf3,16938,svm,56,0.6153,./model/109.pkl
ruddit_train,5838,clean0,tfidf3,16938,mlp,64,0.6006,./model/110.pkl
ruddit_train,5838,clean0,tfidf3,16938,lgb,23,0.5816,./model/111.pkl
ruddit_train,5838,clean1,tfidf0,28008,ridge,34,0.6303,./model/112.pkl
ruddit_train,5838,clean1,tfidf0,28008,svm,217,0.6299,./model/113.pkl
ruddit_train,5838,clean1,tfidf0,28008,mlp,123,0.617,./model/114.pkl
ruddit_train,5838,clean1,tfidf0,28008,lgb,37,0.5872,./model/115.pkl
ruddit_train,5838,clean1,tfidf1,2000,ridge,32,0.6109,./model/116.pkl
ruddit_train,5838,clean1,tfidf1,2000,svm,159,0.617,./model/117.pkl
ruddit_train,5838,clean1,tfidf1,2000,mlp,43,0.6124,./model/118.pkl
ruddit_train,5838,clean1,tfidf1,2000,lgb,33,0.5809,./model/119.pkl
ruddit_train,5838,clean1,tfidf2,13490,ridge,8,0.6194,./model/120.pkl
ruddit_train,5838,clean1,tfidf2,13490,svm,39,0.6158,./model/121.pkl
ruddit_train,5838,clean1,tfidf2,13490,mlp,39,0.608,./model/122.pkl
ruddit_train,5838,clean1,tfidf2,13490,lgb,9,0.5829,./model/123.pkl
ruddit_train,5838,clean1,tfidf3,16937,ridge,17,0.6185,./model/124.pkl
ruddit_train,5838,clean1,tfidf3,16937,svm,49,0.6148,./model/125.pkl
ruddit_train,5838,clean1,tfidf3,16937,mlp,55,0.597,./model/126.pkl
ruddit_train,5838,clean1,tfidf3,16937,lgb,17,0.5825,./model/127.pkl
